Country ID,Education Source Data,Country Name,Year,Education Spend (%),Source Data,"Rate per 100,000"
4,Government Expenditure,Afghanistan,2010,17.07,Homicide (%),3.4
8,Government Expenditure,Albania,2005,11.36,Homicide (%),5.0
8,Government Expenditure,Albania,2005,11.36,Assault (%),5.4
8,Government Expenditure,Albania,2005,11.36,Theft (%),97.0
8,Government Expenditure,Albania,2005,11.36,Robbery (%),6.5
8,Government Expenditure,Albania,2005,11.36,Sexual Violence (%),2.9
8,Government Expenditure,Albania,2015,11.32,Homicide (%),2.3
8,Government Expenditure,Albania,2015,11.32,Assault (%),5.8
8,Government Expenditure,Albania,2015,11.32,Kidnapping (%),0.3
8,Government Expenditure,Albania,2015,11.32,Theft (%),245.8
8,Government Expenditure,Albania,2015,11.32,Robbery (%),8.0
8,Government Expenditure,Albania,2015,11.32,Sexual Violence (%),5.1
8,Government Expenditure,Albania,2016,13.6,Homicide (%),2.7
8,Government Expenditure,Albania,2016,13.6,Assault (%),4.0
8,Government Expenditure,Albania,2016,13.6,Kidnapping (%),0.1
8,Government Expenditure,Albania,2016,13.6,Theft (%),192.4
8,Government Expenditure,Albania,2016,13.6,Robbery (%),5.4
28,Government Expenditure,Antigua and Barbuda,2002,11.7,Homicide (%),5.8
32,Government Expenditure,Argentina,2005,15.81,Assault (%),363.0
32,Government Expenditure,Argentina,2005,15.81,Theft (%),775.7
32,Government Expenditure,Argentina,2005,15.81,Robbery (%),907.7
32,Government Expenditure,Argentina,2016,13.38,Homicide (%),5.9
32,Government Expenditure,Argentina,2016,13.38,Assault (%),326.2
32,Government Expenditure,Argentina,2016,13.38,Theft (%),616.2
32,Government Expenditure,Argentina,2016,13.38,Robbery (%),988.9
51,Government Expenditure,Armenia,2005,13.65,Homicide (%),1.9
51,Government Expenditure,Armenia,2005,13.65,Assault (%),6.0
51,Government Expenditure,Armenia,2005,13.65,Kidnapping (%),0.7
51,Government Expenditure,Armenia,2005,13.65,Theft (%),82.6
51,Government Expenditure,Armenia,2005,13.65,Robbery (%),9.0
51,Government Expenditure,Armenia,2005,13.65,Sexual Violence (%),1.7
