Country ID,Education Source Data,Country Name,Year,Education Spend (%),Source Data,GDP
4,Government Expenditure,Afghanistan,2010,17.07,GDP (millions of $),16078.0
4,Government Expenditure,Afghanistan,2010,17.07,GDP per Capita ($),558.0
4,Government Expenditure,Afghanistan,2010,17.07,GDP in 2010 dollars ($),16078.0
4,GDP,Afghanistan,2010,3.46,GDP (millions of $),16078.0
4,GDP,Afghanistan,2010,3.46,GDP per Capita ($),558.0
4,GDP,Afghanistan,2010,3.46,GDP in 2010 dollars ($),16078.0
4,Government Expenditure,Afghanistan,2015,12.51,GDP (millions of $),20608.0
4,Government Expenditure,Afghanistan,2015,12.51,GDP per Capita ($),611.0
4,Government Expenditure,Afghanistan,2015,12.51,GDP in 2010 dollars ($),20890.0
4,GDP,Afghanistan,2015,3.24,GDP (millions of $),20608.0
4,GDP,Afghanistan,2015,3.24,GDP per Capita ($),611.0
4,GDP,Afghanistan,2015,3.24,GDP in 2010 dollars ($),20890.0
4,Government Expenditure,Afghanistan,2017,15.66,GDP (millions of $),21993.0
4,Government Expenditure,Afghanistan,2017,15.66,GDP per Capita ($),619.0
4,Government Expenditure,Afghanistan,2017,15.66,GDP in 2010 dollars ($),22175.0
4,GDP,Afghanistan,2017,3.93,GDP (millions of $),21993.0
4,GDP,Afghanistan,2017,3.93,GDP per Capita ($),619.0
4,GDP,Afghanistan,2017,3.93,GDP in 2010 dollars ($),22175.0
8,Government Expenditure,Albania,2005,11.36,GDP (millions of $),8052.0
8,Government Expenditure,Albania,2005,11.36,GDP per Capita ($),2615.0
8,Government Expenditure,Albania,2005,11.36,GDP in 2010 dollars ($),9222.0
8,GDP,Albania,2005,3.24,GDP (millions of $),8052.0
8,GDP,Albania,2005,3.24,GDP per Capita ($),2615.0
8,GDP,Albania,2005,3.24,GDP in 2010 dollars ($),9222.0
8,Government Expenditure,Albania,2015,11.32,GDP (millions of $),11387.0
8,Government Expenditure,Albania,2015,11.32,GDP per Capita ($),3895.0
8,Government Expenditure,Albania,2015,11.32,GDP in 2010 dollars ($),13033.0
8,GDP,Albania,2015,3.44,GDP (millions of $),11387.0
8,GDP,Albania,2015,3.44,GDP per Capita ($),3895.0
