Country ID,Education Source Data,Country Name,Year,Education Spend (%),Source Data,Expenditure on R&D (%)
32,Government Expenditure,Argentina,2005,15.81,GDP(%),0.4
32,Government Expenditure,Argentina,2005,15.81,Business Enterprises (%),31.0
32,Government Expenditure,Argentina,2005,15.81,Government (%),59.6
32,Government Expenditure,Argentina,2005,15.81,Higher education (%),5.7
32,Government Expenditure,Argentina,2005,15.81,Private non-profit (%),3.0
32,Government Expenditure,Argentina,2005,15.81,Funds from abroad (%),0.7
32,Government Expenditure,Argentina,2005,15.81,Not distributed (%),0.0
32,Government Expenditure,Argentina,2010,15.05,GDP(%),0.6
51,Government Expenditure,Armenia,2005,13.65,GDP(%),0.3
51,Government Expenditure,Armenia,2005,13.65,Government (%),77.5
51,Government Expenditure,Armenia,2005,13.65,Funds from abroad (%),4.7
51,Government Expenditure,Armenia,2005,13.65,Not distributed (%),17.8
51,Government Expenditure,Armenia,2010,12.4,GDP(%),0.2
51,Government Expenditure,Armenia,2010,12.4,Government (%),84.5
51,Government Expenditure,Armenia,2010,12.4,Funds from abroad (%),11.7
51,Government Expenditure,Armenia,2010,12.4,Not distributed (%),3.8
51,Government Expenditure,Armenia,2016,10.2,GDP(%),0.2
51,Government Expenditure,Armenia,2016,10.2,Government (%),72.9
51,Government Expenditure,Armenia,2016,10.2,Funds from abroad (%),1.8
51,Government Expenditure,Armenia,2016,10.2,Not distributed (%),25.2
36,Government Expenditure,Australia,2010,14.33,GDP(%),2.4
36,Government Expenditure,Australia,2015,14.08,GDP(%),1.9
40,Government Expenditure,Austria,2005,10.26,GDP(%),2.4
40,Government Expenditure,Austria,2005,10.26,Business Enterprises (%),45.6
40,Government Expenditure,Austria,2005,10.26,Government (%),35.9
40,Government Expenditure,Austria,2005,10.26,Private non-profit (%),0.4
40,Government Expenditure,Austria,2005,10.26,Funds from abroad (%),18.0
40,Government Expenditure,Austria,2010,10.79,GDP(%),2.7
40,Government Expenditure,Austria,2010,10.79,Business Enterprises (%),45.1
40,Government Expenditure,Austria,2010,10.79,Government (%),38.3
40,Government Expenditure,Austria,2010,10.79,Private non-profit (%),0.5
40,Government Expenditure,Austria,2010,10.79,Funds from abroad (%),16.1
40,Government Expenditure,Austria,2015,10.69,GDP(%),3.0
40,Government Expenditure,Austria,2015,10.69,Business Enterprises (%),49.7
40,Government Expenditure,Austria,2015,10.69,Government (%),32.6
40,Government Expenditure,Austria,2015,10.69,Higher education (%),0.6
40,Government Expenditure,Austria,2015,10.69,Private non-profit (%),0.5
40,Government Expenditure,Austria,2015,10.69,Funds from abroad (%),16.6
31,Government Expenditure,Azerbaijan,2005,13.22,GDP(%),0.2
31,Government Expenditure,Azerbaijan,2005,13.22,Business Enterprises (%),18.7
31,Government Expenditure,Azerbaijan,2005,13.22,Government (%),77.5
31,Government Expenditure,Azerbaijan,2005,13.22,Higher education (%),0.0
31,Government Expenditure,Azerbaijan,2005,13.22,Private non-profit (%),1.3
31,Government Expenditure,Azerbaijan,2005,13.22,Funds from abroad (%),2.4
31,Government Expenditure,Azerbaijan,2010,8.7,GDP(%),0.2
31,Government Expenditure,Azerbaijan,2010,8.7,Business Enterprises (%),9.6
31,Government Expenditure,Azerbaijan,2010,8.7,Government (%),88.2
31,Government Expenditure,Azerbaijan,2010,8.7,Higher education (%),0.3
31,Government Expenditure,Azerbaijan,2010,8.7,Private non-profit (%),1.9
31,Government Expenditure,Azerbaijan,2010,8.7,Funds from abroad (%),0.0
31,Government Expenditure,Azerbaijan,2016,8.2,GDP(%),0.2
31,Government Expenditure,Azerbaijan,2016,8.2,Business Enterprises (%),29.9
31,Government Expenditure,Azerbaijan,2016,8.2,Government (%),68.5
31,Government Expenditure,Azerbaijan,2016,8.2,Higher education (%),1.4
31,Government Expenditure,Azerbaijan,2016,8.2,Private non-profit (%),0.2
112,Government Expenditure,Belarus,2005,12.62,GDP(%),0.7
112,Government Expenditure,Belarus,2005,12.62,Business Enterprises (%),21.2
112,Government Expenditure,Belarus,2005,12.62,Government (%),71.9
112,Government Expenditure,Belarus,2005,12.62,Higher education (%),0.7
112,Government Expenditure,Belarus,2005,12.62,Funds from abroad (%),6.3
112,Government Expenditure,Belarus,2010,11.78,GDP(%),0.7
112,Government Expenditure,Belarus,2010,11.78,Business Enterprises (%),27.1
112,Government Expenditure,Belarus,2010,11.78,Government (%),58.7
112,Government Expenditure,Belarus,2010,11.78,Private non-profit (%),0.6
112,Government Expenditure,Belarus,2010,11.78,Funds from abroad (%),13.6
56,Government Expenditure,Belgium,2005,11.17,GDP(%),1.8
56,Government Expenditure,Belgium,2005,11.17,Business Enterprises (%),59.7
56,Government Expenditure,Belgium,2005,11.17,Government (%),24.7
56,Government Expenditure,Belgium,2005,11.17,Higher education (%),2.6
56,Government Expenditure,Belgium,2005,11.17,Private non-profit (%),0.6
56,Government Expenditure,Belgium,2005,11.17,Funds from abroad (%),12.4
56,Government Expenditure,Belgium,2010,12.01,GDP(%),2.1
56,Government Expenditure,Belgium,2010,12.01,Business Enterprises (%),57.6
56,Government Expenditure,Belgium,2010,12.01,Government (%),25.4
56,Government Expenditure,Belgium,2010,12.01,Higher education (%),3.1
56,Government Expenditure,Belgium,2010,12.01,Private non-profit (%),0.6
56,Government Expenditure,Belgium,2010,12.01,Funds from abroad (%),13.3
56,Government Expenditure,Belgium,2015,12.17,GDP(%),2.5
56,Government Expenditure,Belgium,2015,12.17,Business Enterprises (%),58.6
56,Government Expenditure,Belgium,2015,12.17,Government (%),22.5
56,Government Expenditure,Belgium,2015,12.17,Higher education (%),2.0
56,Government Expenditure,Belgium,2015,12.17,Private non-profit (%),0.4
56,Government Expenditure,Belgium,2015,12.17,Funds from abroad (%),16.5
68,Government Expenditure,Bolivia (Plurin. State of),2009,22.56,GDP(%),0.2
68,Government Expenditure,Bolivia (Plurin. State of),2009,22.56,Business Enterprises (%),5.2
68,Government Expenditure,Bolivia (Plurin. State of),2009,22.56,Government (%),51.2
68,Government Expenditure,Bolivia (Plurin. State of),2009,22.56,Higher education (%),26.5
68,Government Expenditure,Bolivia (Plurin. State of),2009,22.56,Private non-profit (%),2.1
68,Government Expenditure,Bolivia (Plurin. State of),2009,22.56,Funds from abroad (%),1.9
68,Government Expenditure,Bolivia (Plurin. State of),2009,22.56,Not distributed (%),13.2
72,Government Expenditure,Botswana,2005,25.82,GDP(%),0.5
76,Government Expenditure,Brazil,2005,11.26,GDP(%),1.0
76,Government Expenditure,Brazil,2005,11.26,Business Enterprises (%),50.4
76,Government Expenditure,Brazil,2005,11.26,Government (%),47.7
76,Government Expenditure,Brazil,2005,11.26,Higher education (%),1.9
76,Government Expenditure,Brazil,2010,14.56,GDP(%),1.2
76,Government Expenditure,Brazil,2010,14.56,Business Enterprises (%),47.0
76,Government Expenditure,Brazil,2010,14.56,Government (%),51.1
76,Government Expenditure,Brazil,2010,14.56,Higher education (%),1.8
76,Government Expenditure,Brazil,2010,14.56,Not distributed (%),0.0
76,Government Expenditure,Brazil,2015,16.25,GDP(%),1.3
76,Government Expenditure,Brazil,2015,16.25,Business Enterprises (%),47.5
76,Government Expenditure,Brazil,2015,16.25,Government (%),50.2
76,Government Expenditure,Brazil,2015,16.25,Higher education (%),2.3
76,Government Expenditure,Brazil,2015,16.25,Not distributed (%),0.0
100,Government Expenditure,Bulgaria,2005,12.07,GDP(%),0.4
100,Government Expenditure,Bulgaria,2005,12.07,Business Enterprises (%),27.8
100,Government Expenditure,Bulgaria,2005,12.07,Government (%),63.9
100,Government Expenditure,Bulgaria,2005,12.07,Higher education (%),0.4
100,Government Expenditure,Bulgaria,2005,12.07,Private non-profit (%),0.3
100,Government Expenditure,Bulgaria,2005,12.07,Funds from abroad (%),7.6
100,Government Expenditure,Bulgaria,2010,11.16,GDP(%),0.6
100,Government Expenditure,Bulgaria,2010,11.16,Business Enterprises (%),16.7
100,Government Expenditure,Bulgaria,2010,11.16,Government (%),43.2
100,Government Expenditure,Bulgaria,2010,11.16,Higher education (%),0.5
100,Government Expenditure,Bulgaria,2010,11.16,Private non-profit (%),0.1
100,Government Expenditure,Bulgaria,2010,11.16,Funds from abroad (%),39.6
854,Government Expenditure,Burkina Faso,2005,19.49,GDP(%),0.2
854,Government Expenditure,Burkina Faso,2005,19.49,Government (%),100.0
108,Government Expenditure,Burundi,2010,16.59,GDP(%),0.1
116,Government Expenditure,Cambodia,2002,10.14,GDP(%),0.0
116,Government Expenditure,Cambodia,2002,10.14,Government (%),17.9
116,Government Expenditure,Cambodia,2002,10.14,Private non-profit (%),43.0
116,Government Expenditure,Cambodia,2002,10.14,Funds from abroad (%),28.4
116,Government Expenditure,Cambodia,2002,10.14,Not distributed (%),10.6
124,Government Expenditure,Canada,2005,12.18,GDP(%),2.0
124,Government Expenditure,Canada,2005,12.18,Business Enterprises (%),49.3
124,Government Expenditure,Canada,2005,12.18,Government (%),31.8
124,Government Expenditure,Canada,2005,12.18,Higher education (%),7.3
124,Government Expenditure,Canada,2005,12.18,Private non-profit (%),2.8
124,Government Expenditure,Canada,2005,12.18,Funds from abroad (%),8.8
124,Government Expenditure,Canada,2010,12.34,GDP(%),1.8
124,Government Expenditure,Canada,2010,12.34,Business Enterprises (%),47.2
124,Government Expenditure,Canada,2010,12.34,Government (%),34.9
124,Government Expenditure,Canada,2010,12.34,Higher education (%),7.9
124,Government Expenditure,Canada,2010,12.34,Private non-profit (%),3.5
124,Government Expenditure,Canada,2010,12.34,Funds from abroad (%),6.6
152,Government Expenditure,Chile,2010,17.84,GDP(%),0.3
152,Government Expenditure,Chile,2010,17.84,Business Enterprises (%),25.4
152,Government Expenditure,Chile,2010,17.84,Government (%),40.4
152,Government Expenditure,Chile,2010,17.84,Higher education (%),12.7
152,Government Expenditure,Chile,2010,17.84,Private non-profit (%),1.7
152,Government Expenditure,Chile,2010,17.84,Funds from abroad (%),19.8
152,Government Expenditure,Chile,2016,21.16,GDP(%),0.4
152,Government Expenditure,Chile,2016,21.16,Business Enterprises (%),35.8
152,Government Expenditure,Chile,2016,21.16,Government (%),46.4
152,Government Expenditure,Chile,2016,21.16,Higher education (%),14.4
152,Government Expenditure,Chile,2016,21.16,Private non-profit (%),1.5
152,Government Expenditure,Chile,2016,21.16,Funds from abroad (%),1.9
344,Government Expenditure,"China, Hong Kong SAR",2005,22.48,GDP(%),0.8
344,Government Expenditure,"China, Hong Kong SAR",2005,22.48,Business Enterprises (%),53.0
344,Government Expenditure,"China, Hong Kong SAR",2005,22.48,Government (%),44.1
344,Government Expenditure,"China, Hong Kong SAR",2005,22.48,Higher education (%),0.4
344,Government Expenditure,"China, Hong Kong SAR",2005,22.48,Funds from abroad (%),2.5
344,Government Expenditure,"China, Hong Kong SAR",2010,19.91,GDP(%),0.7
344,Government Expenditure,"China, Hong Kong SAR",2010,19.91,Business Enterprises (%),47.6
344,Government Expenditure,"China, Hong Kong SAR",2010,19.91,Government (%),47.3
344,Government Expenditure,"China, Hong Kong SAR",2010,19.91,Higher education (%),0.1
344,Government Expenditure,"China, Hong Kong SAR",2010,19.91,Funds from abroad (%),4.9
170,Government Expenditure,Colombia,2005,15.54,GDP(%),0.1
170,Government Expenditure,Colombia,2010,16.42,GDP(%),0.2
170,Government Expenditure,Colombia,2010,16.42,Business Enterprises (%),28.8
170,Government Expenditure,Colombia,2010,16.42,Government (%),38.7
170,Government Expenditure,Colombia,2010,16.42,Higher education (%),23.2
170,Government Expenditure,Colombia,2010,16.42,Private non-profit (%),6.0
170,Government Expenditure,Colombia,2010,16.42,Funds from abroad (%),3.3
191,Government Expenditure,Croatia,2010,8.96,GDP(%),0.7
191,Government Expenditure,Croatia,2010,8.96,Business Enterprises (%),38.8
191,Government Expenditure,Croatia,2010,8.96,Government (%),49.2
191,Government Expenditure,Croatia,2010,8.96,Higher education (%),2.0
191,Government Expenditure,Croatia,2010,8.96,Private non-profit (%),0.2
191,Government Expenditure,Croatia,2010,8.96,Funds from abroad (%),9.9
196,Government Expenditure,Cyprus,2005,15.84,GDP(%),0.4
196,Government Expenditure,Cyprus,2005,15.84,Business Enterprises (%),16.8
196,Government Expenditure,Cyprus,2005,15.84,Government (%),67.0
196,Government Expenditure,Cyprus,2005,15.84,Higher education (%),4.2
196,Government Expenditure,Cyprus,2005,15.84,Private non-profit (%),1.2
196,Government Expenditure,Cyprus,2005,15.84,Funds from abroad (%),10.9
196,Government Expenditure,Cyprus,2010,15.65,GDP(%),0.4
196,Government Expenditure,Cyprus,2010,15.65,Business Enterprises (%),12.7
196,Government Expenditure,Cyprus,2010,15.65,Government (%),68.3
196,Government Expenditure,Cyprus,2010,15.65,Higher education (%),3.5
196,Government Expenditure,Cyprus,2010,15.65,Private non-profit (%),0.5
196,Government Expenditure,Cyprus,2010,15.65,Funds from abroad (%),15.0
196,Government Expenditure,Cyprus,2015,16.28,GDP(%),0.5
196,Government Expenditure,Cyprus,2015,16.28,Business Enterprises (%),20.0
196,Government Expenditure,Cyprus,2015,16.28,Government (%),50.6
196,Government Expenditure,Cyprus,2015,16.28,Higher education (%),5.8
196,Government Expenditure,Cyprus,2015,16.28,Private non-profit (%),0.6
196,Government Expenditure,Cyprus,2015,16.28,Funds from abroad (%),23.0
203,Government Expenditure,Czechia,2005,9.2,GDP(%),1.2
203,Government Expenditure,Czechia,2005,9.2,Business Enterprises (%),48.2
203,Government Expenditure,Czechia,2005,9.2,Government (%),45.2
203,Government Expenditure,Czechia,2005,9.2,Higher education (%),1.2
203,Government Expenditure,Czechia,2005,9.2,Private non-profit (%),0.0
203,Government Expenditure,Czechia,2005,9.2,Funds from abroad (%),5.4
203,Government Expenditure,Czechia,2010,9.34,GDP(%),1.3
203,Government Expenditure,Czechia,2010,9.34,Business Enterprises (%),40.8
203,Government Expenditure,Czechia,2010,9.34,Government (%),44.4
203,Government Expenditure,Czechia,2010,9.34,Higher education (%),0.9
203,Government Expenditure,Czechia,2010,9.34,Private non-profit (%),0.0
203,Government Expenditure,Czechia,2010,9.34,Funds from abroad (%),13.9
203,Government Expenditure,Czechia,2015,13.88,GDP(%),1.9
203,Government Expenditure,Czechia,2015,13.88,Business Enterprises (%),34.5
203,Government Expenditure,Czechia,2015,13.88,Government (%),32.2
203,Government Expenditure,Czechia,2015,13.88,Higher education (%),0.7
203,Government Expenditure,Czechia,2015,13.88,Private non-profit (%),0.1
203,Government Expenditure,Czechia,2015,13.88,Funds from abroad (%),32.5
180,Government Expenditure,Dem. Rep. of the Congo,2015,11.74,GDP(%),0.0
180,Government Expenditure,Dem. Rep. of the Congo,2015,11.74,Business Enterprises (%),0.2
180,Government Expenditure,Dem. Rep. of the Congo,2015,11.74,Government (%),70.3
180,Government Expenditure,Dem. Rep. of the Congo,2015,11.74,Private non-profit (%),0.1
180,Government Expenditure,Dem. Rep. of the Congo,2015,11.74,Funds from abroad (%),29.4
208,Government Expenditure,Denmark,2005,15.78,GDP(%),2.4
208,Government Expenditure,Denmark,2005,15.78,Business Enterprises (%),59.5
208,Government Expenditure,Denmark,2005,15.78,Government (%),27.6
208,Government Expenditure,Denmark,2005,15.78,Private non-profit (%),2.8
208,Government Expenditure,Denmark,2005,15.78,Funds from abroad (%),10.1
208,Government Expenditure,Denmark,2010,15.1,GDP(%),2.9
208,Government Expenditure,Denmark,2010,15.1,Business Enterprises (%),61.1
208,Government Expenditure,Denmark,2010,15.1,Government (%),28.2
208,Government Expenditure,Denmark,2010,15.1,Private non-profit (%),3.5
208,Government Expenditure,Denmark,2010,15.1,Funds from abroad (%),7.2
218,Government Expenditure,Ecuador,2010,13.0,GDP(%),0.4
218,Government Expenditure,Ecuador,2010,13.0,Business Enterprises (%),1.0
218,Government Expenditure,Ecuador,2010,13.0,Government (%),40.2
218,Government Expenditure,Ecuador,2010,13.0,Higher education (%),9.6
218,Government Expenditure,Ecuador,2010,13.0,Private non-profit (%),0.5
218,Government Expenditure,Ecuador,2010,13.0,Funds from abroad (%),5.3
218,Government Expenditure,Ecuador,2010,13.0,Not distributed (%),43.4
818,Government Expenditure,Egypt,2005,15.04,GDP(%),0.2
222,Government Expenditure,El Salvador,2010,16.16,GDP(%),0.1
222,Government Expenditure,El Salvador,2010,16.16,Business Enterprises (%),0.6
222,Government Expenditure,El Salvador,2010,16.16,Government (%),70.1
222,Government Expenditure,El Salvador,2010,16.16,Higher education (%),20.8
222,Government Expenditure,El Salvador,2010,16.16,Private non-profit (%),0.0
222,Government Expenditure,El Salvador,2010,16.16,Funds from abroad (%),8.3
222,Government Expenditure,El Salvador,2010,16.16,Not distributed (%),0.1
233,Government Expenditure,Estonia,2005,14.26,GDP(%),0.9
233,Government Expenditure,Estonia,2005,14.26,Business Enterprises (%),38.5
233,Government Expenditure,Estonia,2005,14.26,Government (%),43.5
233,Government Expenditure,Estonia,2005,14.26,Higher education (%),0.8
233,Government Expenditure,Estonia,2005,14.26,Private non-profit (%),0.2
233,Government Expenditure,Estonia,2005,14.26,Funds from abroad (%),17.1
233,Government Expenditure,Estonia,2010,13.64,GDP(%),1.6
233,Government Expenditure,Estonia,2010,13.64,Business Enterprises (%),43.6
233,Government Expenditure,Estonia,2010,13.64,Government (%),44.1
233,Government Expenditure,Estonia,2010,13.64,Higher education (%),0.6
233,Government Expenditure,Estonia,2010,13.64,Private non-profit (%),0.2
233,Government Expenditure,Estonia,2010,13.64,Funds from abroad (%),11.4
233,Government Expenditure,Estonia,2015,12.97,GDP(%),1.5
233,Government Expenditure,Estonia,2015,12.97,Business Enterprises (%),41.0
233,Government Expenditure,Estonia,2015,12.97,Government (%),46.4
233,Government Expenditure,Estonia,2015,12.97,Higher education (%),0.2
