Country ID,Source Data,Country Name,Year,CPI
728,General,South Sudan,2017,4583.71
728,Food,South Sudan,2017,4574.02
728,Food,South Sudan,2016,1660.87
728,General,South Sudan,2016,1592.38
862,Food,Venezuela (Boliv. Rep. of),2015,1487.2
760,Food,Syrian Arab Republic,2016,807.3
862,General,Venezuela (Boliv. Rep. of),2015,772.02
760,General,Syrian Arab Republic,2016,662.9
90,Food,Solomon Islands,2016,555.4
90,Food,Solomon Islands,2015,552.52
90,Food,Solomon Islands,2017,551.63
760,Food,Syrian Arab Republic,2015,512.1
729,Food,Sudan,2015,501.49
112,General,Belarus,2018,480.06
112,Food,Belarus,2018,470.99
112,General,Belarus,2017,459.03
760,General,Syrian Arab Republic,2015,448.8
112,General,Belarus,2016,433.06
112,Food,Belarus,2016,424.07
112,Food,Belarus,2015,389.86
112,General,Belarus,2015,386.97
454,General,Malawi,2018,382.5
818,Food,Egypt,2018,355.65
729,General,Sudan,2015,349.82
728,Food,South Sudan,2015,349.44
454,General,Malawi,2017,340.24
24,General,Angola,2018,337.45
728,General,South Sudan,2015,331.85
818,Food,Egypt,2017,313.89
454,General,Malawi,2016,305.03
740,Food,Suriname,2018,289.51
24,Food,Angola,2017,286.61
740,General,Suriname,2018,282.76
24,General,Angola,2017,280.76
231,Food,Ethiopia,2017,267.09
740,Food,Suriname,2017,264.7
740,General,Suriname,2017,264.07
454,Food,Malawi,2017,262.42
804,General,Ukraine,2018,261.07
50,Food,Bangladesh,2017,257.92
324,Food,Guinea,2017,256.37
288,General,Ghana,2018,255.1
566,Food,Nigeria,2018,252.95
454,General,Malawi,2015,250.62
231,General,Ethiopia,2017,249.25
324,General,Guinea,2018,240.2
566,General,Nigeria,2018,240.14
50,Food,Bangladesh,2016,239.12
231,Food,Ethiopia,2016,237.49
804,General,Ukraine,2017,235.3
52,Food,Barbados,2018,234.57
288,General,Ghana,2017,232.26
818,General,Egypt,2017,231.11
52,Food,Barbados,2017,230.92
454,Food,Malawi,2016,230.92
324,Food,Guinea,2016,228.05
804,Food,Ukraine,2018,227.78
231,General,Ethiopia,2016,226.76
818,Food,Egypt,2016,226.38
231,Food,Ethiopia,2015,222.88
24,Food,Angola,2016,222.65
566,Food,Nigeria,2017,221.27
792,Food,Turkey,2018,219.88
694,Food,Sierra Leone,2018,219.16
324,General,Guinea,2017,218.71
52,Food,Barbados,2016,217.46
740,General,Suriname,2016,216.42
404,Food,Kenya,2017,214.82
566,General,Nigeria,2017,214.23
24,General,Angola,2016,213.2
231,General,Ethiopia,2015,211.4
116,Food,Cambodia,2017,206.73
740,Food,Suriname,2016,206.7
288,General,Ghana,2016,206.69
804,General,Ukraine,2016,205.61
694,General,Sierra Leone,2018,205.42
804,Food,Ukraine,2017,204.9
324,Food,Guinea,2015,204.55
792,General,Turkey,2018,202.13
270,Food,Gambia,2016,201.33
324,General,Guinea,2016,200.81
52,Food,Barbados,2015,200.72
116,Food,Cambodia,2016,200.03
508,Food,Mozambique,2018,198.97
508,Food,Mozambique,2017,198.96
108,Food,Burundi,2017,195.39
894,General,Zambia,2018,194.51
818,Food,Egypt,2015,194.05
858,Food,Uruguay,2018,193.95
894,Food,Zambia,2017,193.9
404,Food,Kenya,2016,189.48
780,Food,Trinidad and Tobago,2017,189.01
320,Food,Guatemala,2018,188.72
108,General,Burundi,2017,188.68
858,General,Uruguay,2018,188.1
792,Food,Turkey,2017,187.52
140,General,Central African Republic,2015,186.86
800,Food,Uganda,2017,186.78
430,Food,Liberia,2017,186.49
332,Food,Haiti,2017,186.34
270,Food,Gambia,2015,186.01
324,General,Guinea,2015,185.64
694,Food,Sierra Leone,2017,185.26
566,Food,Nigeria,2016,185.25
678,General,Sao Tome and Principe,2018,185.09
454,Food,Malawi,2015,185.07
800,Food,Uganda,2018,184.57
52,General,Barbados,2018,184.13
566,General,Nigeria,2016,183.85
780,Food,Trinidad and Tobago,2016,183.64
108,General,Burundi,2018,183.37
894,Food,Zambia,2016,183.34
804,Food,Ukraine,2016,181.6
332,General,Haiti,2017,181.49
834,General,United Rep. of Tanzania,2018,181.15
894,General,Zambia,2017,180.95
430,General,Liberia,2017,180.58
404,General,Kenya,2018,180.51
804,General,Ukraine,2015,180.5
858,Food,Uruguay,2017,179.02
643,Food,Russian Federation,2018,178.48
818,General,Egypt,2016,178.46
388,Food,Jamaica,2018,177.66
52,General,Barbados,2017,177.61
508,General,Mozambique,2018,177.38
76,Food,Brazil,2018,176.78
320,Food,Guatemala,2017,175.99
288,General,Ghana,2015,175.97
694,General,Sierra Leone,2017,175.78
643,Food,Russian Federation,2017,175.6
