Country ID,Source Data,Country Name,Year,"Rate per 100,000"
202,Homicide (%),Sub-Saharan Africa,2015,9.6
419,Homicide (%),Latin America & the Caribbean,2015,22.3
62,Homicide (%),South-central Asia,2015,3.7
9,Homicide (%),Oceania,2015,8.8
53,Homicide (%),Australia and New Zealand,2015,1.0
4,Homicide (%),Afghanistan,2010,3.4
4,Homicide (%),Afghanistan,2012,6.3
4,"Percentage of male and female intentional homicide victims, Male",Afghanistan,2012,11.8
4,"Percentage of male and female intentional homicide victims, Female",Afghanistan,2012,0.6
8,Homicide (%),Albania,2005,5.0
8,"Percentage of male and female intentional homicide victims, Male",Albania,2005,8.6
8,"Percentage of male and female intentional homicide victims, Female",Albania,2005,1.4
8,Assault (%),Albania,2005,5.4
8,Theft (%),Albania,2005,97.0
8,Robbery (%),Albania,2005,6.5
8,Sexual Violence (%),Albania,2005,2.9
8,Homicide (%),Albania,2010,4.3
8,"Percentage of male and female intentional homicide victims, Male",Albania,2010,7.3
8,"Percentage of male and female intentional homicide victims, Female",Albania,2010,1.3
8,Assault (%),Albania,2010,6.1
8,Kidnapping (%),Albania,2010,0.3
8,Theft (%),Albania,2010,135.3
8,Robbery (%),Albania,2010,8.0
8,Sexual Violence (%),Albania,2010,2.7
8,Homicide (%),Albania,2015,2.3
8,"Percentage of male and female intentional homicide victims, Male",Albania,2015,3.5
8,"Percentage of male and female intentional homicide victims, Female",Albania,2015,1.0
8,Assault (%),Albania,2015,5.8
8,Kidnapping (%),Albania,2015,0.3
8,Theft (%),Albania,2015,245.8
8,Robbery (%),Albania,2015,8.0
8,Sexual Violence (%),Albania,2015,5.1
8,Homicide (%),Albania,2016,2.7
8,"Percentage of male and female intentional homicide victims, Male",Albania,2016,4.3
8,"Percentage of male and female intentional homicide victims, Female",Albania,2016,1.0
8,Assault (%),Albania,2016,4.0
8,Kidnapping (%),Albania,2016,0.1
8,Theft (%),Albania,2016,192.4
8,Robbery (%),Albania,2016,5.4
12,Homicide (%),Algeria,2005,0.6
12,Assault (%),Algeria,2005,98.9
12,Kidnapping (%),Algeria,2005,0.3
12,Robbery (%),Algeria,2005,75.5
12,Homicide (%),Algeria,2010,0.7
12,Assault (%),Algeria,2010,114.6
12,Kidnapping (%),Algeria,2010,0.5
12,Theft (%),Algeria,2010,141.4
12,Robbery (%),Algeria,2010,51.2
12,Sexual Violence (%),Algeria,2010,10.5
12,Homicide (%),Algeria,2015,1.4
12,"Percentage of male and female intentional homicide victims, Male",Algeria,2015,2.3
12,"Percentage of male and female intentional homicide victims, Female",Algeria,2015,0.4
12,Assault (%),Algeria,2015,123.1
12,Kidnapping (%),Algeria,2015,1.3
12,Theft (%),Algeria,2015,124.3
12,Robbery (%),Algeria,2015,65.3
12,Sexual Violence (%),Algeria,2015,8.5
16,Homicide (%),American Samoa,2005,10.1
16,Homicide (%),American Samoa,2010,9.0
16,Homicide (%),American Samoa,2016,5.4
20,Homicide (%),Andorra,2004,1.3
20,Homicide (%),Andorra,2008,1.2
20,"Percentage of male and female intentional homicide victims, Male",Andorra,2008,0.0
20,"Percentage of male and female intentional homicide victims, Female",Andorra,2008,2.4
20,Assault (%),Andorra,2008,125.2
20,Theft (%),Andorra,2008,
20,Robbery (%),Andorra,2008,4.8
20,Sexual Violence (%),Andorra,2008,17.5
20,"Percentage of male and female intentional homicide victims, Male",Andorra,2010,0.0
20,"Percentage of male and female intentional homicide victims, Female",Andorra,2010,0.0
20,Assault (%),Andorra,2010,116.0
20,Theft (%),Andorra,2010,
20,Robbery (%),Andorra,2010,9.5
20,Sexual Violence (%),Andorra,2010,11.9
20,Homicide (%),Andorra,2011,1.2
20,"Percentage of male and female intentional homicide victims, Male",Andorra,2011,2.3
20,"Percentage of male and female intentional homicide victims, Female",Andorra,2011,0.0
20,Assault (%),Andorra,2011,171.9
20,Theft (%),Andorra,2011,
20,Robbery (%),Andorra,2011,6.0
20,Sexual Violence (%),Andorra,2011,20.7
20,"Percentage of male and female intentional homicide victims, Male",Andorra,2014,0.0
20,"Percentage of male and female intentional homicide victims, Female",Andorra,2014,0.0
20,Assault (%),Andorra,2014,155.3
20,Kidnapping (%),Andorra,2014,1.3
20,Theft (%),Andorra,2014,
20,Robbery (%),Andorra,2014,8.8
20,Sexual Violence (%),Andorra,2014,22.0
20,"Percentage of male and female intentional homicide victims, Male",Andorra,2015,0.0
20,"Percentage of male and female intentional homicide victims, Female",Andorra,2015,0.0
20,Assault (%),Andorra,2015,170.5
20,Theft (%),Andorra,2015,
20,Robbery (%),Andorra,2015,10.3
20,Sexual Violence (%),Andorra,2015,15.6
24,Homicide (%),Angola,2012,4.8
24,"Percentage of male and female intentional homicide victims, Male",Angola,2012,7.8
24,"Percentage of male and female intentional homicide victims, Female",Angola,2012,2.1
660,Homicide (%),Anguilla,2004,8.1
660,Homicide (%),Anguilla,2009,7.4
660,Homicide (%),Anguilla,2014,27.7
28,Homicide (%),Antigua and Barbuda,2002,5.8
28,"Percentage of male and female intentional homicide victims, Male",Antigua and Barbuda,2002,9.2
28,"Percentage of male and female intentional homicide victims, Female",Antigua and Barbuda,2002,2.8
28,Homicide (%),Antigua and Barbuda,2005,3.4
28,Homicide (%),Antigua and Barbuda,2008,17.3
28,"Percentage of male and female intentional homicide victims, Male",Antigua and Barbuda,2008,24.8
28,"Percentage of male and female intentional homicide victims, Female",Antigua and Barbuda,2008,10.4
28,Homicide (%),Antigua and Barbuda,2010,6.3
28,Homicide (%),Antigua and Barbuda,2012,10.3
32,Assault (%),Argentina,2005,363.0
32,Theft (%),Argentina,2005,775.7
32,Robbery (%),Argentina,2005,907.7
32,Assault (%),Argentina,2008,359.7
32,Theft (%),Argentina,2008,703.8
32,Robbery (%),Argentina,2008,957.9
32,Sexual Violence (%),Argentina,2008,26.3
32,Homicide (%),Argentina,2015,6.5
32,"Percentage of male and female intentional homicide victims, Male",Argentina,2015,11.5
32,"Percentage of male and female intentional homicide victims, Female",Argentina,2015,1.7
32,Assault (%),Argentina,2015,417.6
32,Theft (%),Argentina,2015,626.3
32,Robbery (%),Argentina,2015,
32,Sexual Violence (%),Argentina,2015,37.1
32,Homicide (%),Argentina,2016,5.9
32,Assault (%),Argentina,2016,326.2
32,Theft (%),Argentina,2016,616.2
32,Robbery (%),Argentina,2016,988.9
51,Homicide (%),Armenia,2005,1.9
51,"Percentage of male and female intentional homicide victims, Male",Armenia,2005,3.4
51,"Percentage of male and female intentional homicide victims, Female",Armenia,2005,0.7
51,Assault (%),Armenia,2005,6.0
51,Kidnapping (%),Armenia,2005,0.7
51,Theft (%),Armenia,2005,82.6
51,Robbery (%),Armenia,2005,9.0
51,Sexual Violence (%),Armenia,2005,1.7
51,Homicide (%),Armenia,2010,1.9
51,"Percentage of male and female intentional homicide victims, Male",Armenia,2010,3.4
51,"Percentage of male and female intentional homicide victims, Female",Armenia,2010,0.7
51,Assault (%),Armenia,2010,5.4
51,Kidnapping (%),Armenia,2010,1.4
51,Theft (%),Armenia,2010,127.3
51,Robbery (%),Armenia,2010,12.4
51,Sexual Violence (%),Armenia,2010,2.8
51,Homicide (%),Armenia,2015,2.6
51,"Percentage of male and female intentional homicide victims, Male",Armenia,2015,3.9
51,"Percentage of male and female intentional homicide victims, Female",Armenia,2015,1.4
51,Assault (%),Armenia,2015,5.6
51,Kidnapping (%),Armenia,2015,2.0
51,Theft (%),Armenia,2015,183.9
51,Robbery (%),Armenia,2015,10.0
51,Sexual Violence (%),Armenia,2015,4.0
51,Homicide (%),Armenia,2016,3.0
51,"Percentage of male and female intentional homicide victims, Male",Armenia,2016,5.2
51,"Percentage of male and female intentional homicide victims, Female",Armenia,2016,1.0
51,Assault (%),Armenia,2016,6.4
51,Kidnapping (%),Armenia,2016,1.7
51,Theft (%),Armenia,2016,194.3
51,Robbery (%),Armenia,2016,10.5
533,Homicide (%),Aruba,2005,6.0
533,"Percentage of male and female intentional homicide victims, Male",Aruba,2005,10.5
533,"Percentage of male and female intentional homicide victims, Female",Aruba,2005,1.9
533,Homicide (%),Aruba,2010,3.9
533,"Percentage of male and female intentional homicide victims, Male",Aruba,2010,8.3
533,"Percentage of male and female intentional homicide victims, Female",Aruba,2010,0.0
533,Homicide (%),Aruba,2014,1.9
533,"Percentage of male and female intentional homicide victims, Male",Aruba,2014,4.1
533,"Percentage of male and female intentional homicide victims, Female",Aruba,2014,0.0
36,Homicide (%),Australia,2005,1.3
36,"Percentage of male and female intentional homicide victims, Male",Australia,2005,1.6
36,"Percentage of male and female intentional homicide victims, Female",Australia,2005,1.0
36,Theft (%),Australia,2005,
36,Homicide (%),Australia,2010,1.0
36,"Percentage of male and female intentional homicide victims, Male",Australia,2010,1.2
36,"Percentage of male and female intentional homicide victims, Female",Australia,2010,0.8
36,Assault (%),Australia,2010,310.4
36,Kidnapping (%),Australia,2010,2.8
36,Theft (%),Australia,2010,
36,Robbery (%),Australia,2010,66.2
36,Sexual Violence (%),Australia,2010,85.1
36,Homicide (%),Australia,2015,1.0
36,"Percentage of male and female intentional homicide victims, Male",Australia,2015,1.3
36,"Percentage of male and female intentional homicide victims, Female",Australia,2015,0.7
36,Assault (%),Australia,2015,284.7
36,Kidnapping (%),Australia,2015,2.2
36,Theft (%),Australia,2015,
36,Robbery (%),Australia,2015,37.7
36,Sexual Violence (%),Australia,2015,89.2
36,Homicide (%),Australia,2016,0.9
36,"Percentage of male and female intentional homicide victims, Male",Australia,2016,1.2
36,"Percentage of male and female intentional homicide victims, Female",Australia,2016,0.7
36,Assault (%),Australia,2016,293.3
36,Kidnapping (%),Australia,2016,2.2
36,Theft (%),Australia,2016,
36,Robbery (%),Australia,2016,39.0
40,Homicide (%),Austria,2005,0.7
40,"Percentage of male and female intentional homicide victims, Male",Austria,2005,0.7
40,"Percentage of male and female intentional homicide victims, Female",Austria,2005,0.6
40,Assault (%),Austria,2005,43.8
40,Kidnapping (%),Austria,2005,0.1
40,Theft (%),Austria,2005,
40,Robbery (%),Austria,2005,57.8
40,Sexual Violence (%),Austria,2005,20.3
40,Homicide (%),Austria,2010,0.7
40,"Percentage of male and female intentional homicide victims, Male",Austria,2010,0.7
40,"Percentage of male and female intentional homicide victims, Female",Austria,2010,0.7
40,Assault (%),Austria,2010,42.9
40,Kidnapping (%),Austria,2010,0.1
40,Theft (%),Austria,2010,
40,Robbery (%),Austria,2010,51.2
